"Último: Tiempo (s)";"Último: Posición (m)";"Último: Velocidad (m/s)";"Último: Aceleración (m/s²)"
0.05;0.3248896;0.00304888888889;-0.00870627160494
0.1;0.325164;0.00152444444444;0.0219181234568
0.15;0.3248896;0.00292693333333;0.0658051851852
0.2;0.325164;0.00929911111111;0.090552
0.25;0.3259872;0.0134151111111;0.0931096790123
0.3;0.326536;0.0175311111111;0.112453185185
0.35;0.3276336;0.0236288888889;0.148040493827
0.4;0.3287312;0.032928;0.173109135802
0.45;0.3309264;0.042532;0.168959259259
0.5;0.3331216;0.0498493333333;0.162014567901
0.55;0.3358656;0.0579288888889;0.167434814815
0.6;0.338884;0.0664657777778;0.174548888889
0.65;0.3424512;0.0760697777778;0.168789876543
0.7;0.3465672;0.0841493333333;0.148040493827
0.75;0.3509576;0.090552;0.13203382716
0.8;0.3556224;0.0966497777778;0.128053333333
0.85;0.3605616;0.103509777778;0.124835061728
0.9;0.3660496;0.109302666667;0.12220962963
0.95;0.3715376;0.114485777778;0.142450864198
1;0.3773;0.123175111111;0.172092839506
1.05;0.3838856;0.132169333333;0.192164691358
1.1;0.3904712;0.142230666667;0.20452962963
1.15;0.39788;0.155340888889;0.161337037037
1.2;0.4063864;0.161133777778;0.0674990123457
1.25;0.414344;0.160219111111;0.00279481481482
1.3;0.4223016;0.159304444444;-0.0169382716049
1.35;0.4302592;0.158542222222;-0.0134659259259
1.4;0.4384912;0.154121333333;0.0672449382716
1.45;0.4450768;0.160981333333;0.217995555556
1.5;0.4538576;0.181256444444;0.271943950617
1.55;0.463736;0.193452;0.222484197531
1.6;0.47334;0.202751111111;0.169890864198
1.65;0.4840416;0.209916;0.125089135802
1.7;0.4944688;0.214336888889;0.105440740741
1.75;0.5054448;0.219367555556;0.111623209877
1.8;0.5164208;0.224398222222;0.140757037037
1.85;0.5276712;0.23324;0.178021234568
1.9;0.5397448;0.243148888889;0.199024691358
1.95;0.5520928;0.251990666667;0.226210617284
2;0.5644408;0.268149777778;0.202412345679
2.05;0.5792584;0.277601333333;0.0881637037037
2.1;0.5929784;0.273485333333;0.0338765432099
2.15;0.6061496;0.276076888889;0.0690234567901
2.2;0.6204184;0.281564888889;0.0964634567901
2.25;0.6344128;0.286443111111;0.113486419753
2.3;0.648956;0.293150666667;0.120939259259
2.35;0.6637736;0.298943555556;0.121278024691
2.4;0.6788656;0.304888888889;0.127714567901
2.45;0.694232;0.311291555556;0.138724444444
2.5;0.7098728;0.319676;0.132880740741
2.55;0.7263368;0.325621333333;0.108320246914
2.6;0.7425264;0.329737333333;0.0978185185185
2.65;0.7592648;0.334615555556;0.10332345679
2.7;0.7760032;0.339341333333;0.123395308642
2.75;0.793016;0.347420888889;0.136183703704
2.8;0.810852;0.353823555556;0.133642962963
2.85;0.8284136;0.360226222222;0.13762345679
2.9;0.8467984;0.367696;0.135844938272
2.95;0.8651832;0.374860888889;0.114756790123
3;0.8843912;0.379891555556;0.0818965432099
3.05;0.9033248;0.382025777778;0.0697009876543
3.1;0.9225328;0.385227111111;0.0901962962963
3.15;0.9417408;0.390562666667;0.12263308642
3.2;0.9614976;0.398032444444;0.145245679012
3.25;0.9815288;0.405959555556;0.149056790123
3.3;1.0021088;0.413581777778;0.138809135802
3.35;1.0229632;0.419832;0.126444197531
3.4;1.044092;0.425777333333;0.121108641975
3.45;1.0654952;0.432332444444;0.110437530864
3.5;1.0874472;0.436753333333;0.102137777778
3.55;1.1091248;0.441936444444;0.104678518519
3.6;1.1316256;0.447272;0.107388641975
3.65;1.153852;0.45276;0.10933654321
3.7;1.1769016;0.458248;0.110268148148
3.75;1.1996768;0.463736;0.112724197531
3.8;1.2232752;0.469376444444;0.117636296296
3.85;1.2465992;0.475321777778;0.124411604938
3.9;1.2707464;0.482334222222;0.120177037037
3.95;1.2948936;0.487974666667;0.104339753086
4;1.3195896;0.492852888889;0.0868509876543
4.05;1.3442856;0.495749333333;0.0831245679012
4.1;1.3689816;0.501237333333;0.07889
4.15;1.3945008;0.504972222222;0.0535672839506
4.2;1.4197456;0.505505777778;0.0304041975309
