"t";"m";"s";"T"
0 ; 27 ; 32 ; 76.44
0 ; 27 ; 34 ; 76.44
0 ; 27 ; 36 ; 76.44
0 ; 27 ; 37 ; 76.44
0 ; 27 ; 39 ; 76.37
0 ; 27 ; 41 ; 76.37
0 ; 27 ; 43 ; 76.37
0 ; 27 ; 45 ; 76.37
0 ; 27 ; 46 ; 76.37
0 ; 27 ; 48 ; 76.31
0 ; 27 ; 50 ; 76.31
0 ; 27 ; 52 ; 76.31
0 ; 27 ; 53 ; 76.31
0 ; 27 ; 55 ; 76.25
0 ; 27 ; 57 ; 76.25
0 ; 27 ; 59 ; 76.25
0 ; 28 ; 1 ; 76.25
0 ; 28 ; 2 ; 76.25
0 ; 28 ; 4 ; 76.19
0 ; 28 ; 6 ; 76.19
0 ; 28 ; 8 ; 76.19
0 ; 28 ; 9 ; 76.19
0 ; 28 ; 11 ; 76.19
0 ; 28 ; 13 ; 76.12
0 ; 28 ; 15 ; 76.12
0 ; 28 ; 17 ; 76.12
0 ; 28 ; 18 ; 76.12
0 ; 28 ; 20 ; 76.06
0 ; 28 ; 22 ; 76.06
0 ; 28 ; 24 ; 76.06
0 ; 28 ; 25 ; 76.06
0 ; 28 ; 27 ; 76.06
0 ; 28 ; 29 ; 76.00
0 ; 28 ; 31 ; 76.00
0 ; 28 ; 33 ; 76.00
0 ; 28 ; 34 ; 76.00
0 ; 28 ; 36 ; 75.94
0 ; 28 ; 38 ; 75.94
0 ; 28 ; 40 ; 75.94
0 ; 28 ; 41 ; 75.94
0 ; 28 ; 43 ; 75.87
0 ; 28 ; 45 ; 75.87
0 ; 28 ; 47 ; 75.87
0 ; 28 ; 49 ; 75.87
0 ; 28 ; 50 ; 75.87
0 ; 28 ; 52 ; 75.81
0 ; 28 ; 54 ; 75.81
0 ; 28 ; 56 ; 75.81
0 ; 28 ; 58 ; 75.81
0 ; 28 ; 59 ; 75.75
0 ; 29 ; 1 ; 75.75
0 ; 29 ; 3 ; 75.75
0 ; 29 ; 5 ; 75.75
0 ; 29 ; 6 ; 75.75
0 ; 29 ; 8 ; 75.69
0 ; 29 ; 10 ; 75.69
0 ; 29 ; 12 ; 75.69
0 ; 29 ; 14 ; 75.69
0 ; 29 ; 15 ; 75.69
0 ; 29 ; 17 ; 75.62
0 ; 29 ; 19 ; 75.62
0 ; 29 ; 21 ; 75.62
0 ; 29 ; 22 ; 75.62
0 ; 29 ; 24 ; 75.56
0 ; 29 ; 26 ; 75.56
0 ; 29 ; 28 ; 75.56
0 ; 29 ; 30 ; 75.56
0 ; 29 ; 31 ; 75.56
0 ; 29 ; 33 ; 75.50
0 ; 29 ; 35 ; 75.50
0 ; 29 ; 37 ; 75.50
0 ; 29 ; 38 ; 75.50
0 ; 29 ; 40 ; 75.44
0 ; 29 ; 42 ; 75.44
0 ; 29 ; 44 ; 75.44
0 ; 29 ; 46 ; 75.44
0 ; 29 ; 47 ; 75.44
0 ; 29 ; 49 ; 75.37
0 ; 29 ; 51 ; 75.37
0 ; 29 ; 53 ; 75.37
0 ; 29 ; 54 ; 75.37
0 ; 29 ; 56 ; 75.31
0 ; 29 ; 58 ; 75.31
0 ; 30 ; 0 ; 75.31
0 ; 30 ; 2 ; 75.31
0 ; 30 ; 3 ; 75.31
0 ; 30 ; 5 ; 75.31
0 ; 30 ; 7 ; 75.25
0 ; 30 ; 9 ; 75.25
0 ; 30 ; 10 ; 75.25
0 ; 30 ; 12 ; 75.25
0 ; 30 ; 14 ; 75.19
0 ; 30 ; 16 ; 75.19
0 ; 30 ; 18 ; 75.19
0 ; 30 ; 19 ; 75.19
0 ; 30 ; 21 ; 75.12
0 ; 30 ; 23 ; 75.12
0 ; 30 ; 25 ; 75.12
0 ; 30 ; 27 ; 75.12
0 ; 30 ; 28 ; 75.12
0 ; 30 ; 30 ; 75.06
0 ; 30 ; 32 ; 75.06
0 ; 30 ; 34 ; 75.06
0 ; 30 ; 35 ; 75.06
0 ; 30 ; 37 ; 75.00
0 ; 30 ; 39 ; 75.00
0 ; 30 ; 41 ; 75.00
0 ; 30 ; 43 ; 75.00
0 ; 30 ; 44 ; 74.94
0 ; 30 ; 46 ; 74.94
0 ; 30 ; 48 ; 74.94
0 ; 30 ; 50 ; 74.94
0 ; 30 ; 51 ; 74.94
0 ; 30 ; 53 ; 74.87
0 ; 30 ; 55 ; 74.87
0 ; 30 ; 57 ; 74.87
0 ; 30 ; 59 ; 74.87
0 ; 31 ; 0 ; 74.81
0 ; 31 ; 2 ; 74.81
0 ; 31 ; 4 ; 74.81
0 ; 31 ; 6 ; 74.81
0 ; 31 ; 7 ; 74.81
0 ; 31 ; 9 ; 74.75
0 ; 31 ; 11 ; 74.75
0 ; 31 ; 13 ; 74.75
0 ; 31 ; 15 ; 74.75
0 ; 31 ; 16 ; 74.75
0 ; 31 ; 18 ; 74.69
0 ; 31 ; 20 ; 74.69
0 ; 31 ; 22 ; 74.69
0 ; 31 ; 23 ; 74.69
0 ; 31 ; 25 ; 74.69
0 ; 31 ; 27 ; 74.62
0 ; 31 ; 29 ; 74.62
0 ; 31 ; 31 ; 74.62
0 ; 31 ; 32 ; 74.62
0 ; 31 ; 34 ; 74.62
0 ; 31 ; 36 ; 74.56
0 ; 31 ; 38 ; 74.56
0 ; 31 ; 39 ; 74.56
0 ; 31 ; 41 ; 74.56
0 ; 31 ; 43 ; 74.56
0 ; 31 ; 45 ; 74.50
0 ; 31 ; 47 ; 74.50
0 ; 31 ; 48 ; 74.50
0 ; 31 ; 50 ; 74.50
0 ; 31 ; 52 ; 74.44
0 ; 31 ; 54 ; 74.44
0 ; 31 ; 56 ; 74.44
0 ; 31 ; 57 ; 74.44
0 ; 31 ; 59 ; 74.44
0 ; 32 ; 1 ; 74.37
0 ; 32 ; 3 ; 74.37
0 ; 32 ; 4 ; 74.37
0 ; 32 ; 6 ; 74.37
0 ; 32 ; 8 ; 74.31
0 ; 32 ; 10 ; 74.31
0 ; 32 ; 12 ; 74.31
0 ; 32 ; 13 ; 74.31
0 ; 32 ; 15 ; 74.31
0 ; 32 ; 17 ; 74.25
0 ; 32 ; 19 ; 74.25
0 ; 32 ; 20 ; 74.25
0 ; 32 ; 22 ; 74.25
0 ; 32 ; 24 ; 74.25
0 ; 32 ; 26 ; 74.19
0 ; 32 ; 28 ; 74.19
0 ; 32 ; 29 ; 74.19
0 ; 32 ; 31 ; 74.19
0 ; 32 ; 33 ; 74.12
0 ; 32 ; 35 ; 74.12
0 ; 32 ; 36 ; 74.12
0 ; 32 ; 38 ; 74.12
0 ; 32 ; 40 ; 74.12
0 ; 32 ; 42 ; 74.12
0 ; 32 ; 44 ; 74.06
0 ; 32 ; 45 ; 74.06
0 ; 32 ; 47 ; 74.06
0 ; 32 ; 49 ; 74.06
0 ; 32 ; 51 ; 74.00
0 ; 32 ; 52 ; 74.00
0 ; 32 ; 54 ; 74.00
0 ; 32 ; 56 ; 74.00
0 ; 32 ; 58 ; 74.00
0 ; 33 ; 0 ; 73.94
0 ; 33 ; 1 ; 73.94
0 ; 33 ; 3 ; 73.94
0 ; 33 ; 5 ; 73.94
0 ; 33 ; 7 ; 73.94
0 ; 33 ; 8 ; 73.87
0 ; 33 ; 10 ; 73.87
0 ; 33 ; 12 ; 73.87
0 ; 33 ; 14 ; 73.87
0 ; 33 ; 16 ; 73.87
0 ; 33 ; 17 ; 73.81
0 ; 33 ; 19 ; 73.81
0 ; 33 ; 21 ; 73.81
0 ; 33 ; 23 ; 73.81
0 ; 33 ; 25 ; 73.75
0 ; 33 ; 26 ; 73.75
0 ; 33 ; 28 ; 73.75
0 ; 33 ; 30 ; 73.75
0 ; 33 ; 32 ; 73.69
0 ; 33 ; 33 ; 73.69
0 ; 33 ; 35 ; 73.69
0 ; 33 ; 37 ; 73.69
0 ; 33 ; 39 ; 73.69
0 ; 33 ; 41 ; 73.62
0 ; 33 ; 42 ; 73.62
0 ; 33 ; 44 ; 73.62
0 ; 33 ; 46 ; 73.62
0 ; 33 ; 48 ; 73.62
0 ; 33 ; 49 ; 73.56
0 ; 33 ; 51 ; 73.56
0 ; 33 ; 53 ; 73.56
0 ; 33 ; 55 ; 73.56
0 ; 33 ; 57 ; 73.56
0 ; 33 ; 58 ; 73.50
0 ; 34 ; 0 ; 73.50
0 ; 34 ; 2 ; 73.50
0 ; 34 ; 4 ; 73.50
0 ; 34 ; 5 ; 73.50
0 ; 34 ; 7 ; 73.44
0 ; 34 ; 9 ; 73.44
0 ; 34 ; 11 ; 73.44
0 ; 34 ; 13 ; 73.44
0 ; 34 ; 14 ; 73.44
0 ; 34 ; 16 ; 73.37
0 ; 34 ; 18 ; 73.37
0 ; 34 ; 20 ; 73.37
0 ; 34 ; 21 ; 73.37
0 ; 34 ; 23 ; 73.37
0 ; 34 ; 25 ; 73.31
0 ; 34 ; 27 ; 73.31
0 ; 34 ; 29 ; 73.31
0 ; 34 ; 30 ; 73.31
0 ; 34 ; 32 ; 73.31
0 ; 34 ; 34 ; 73.25
0 ; 34 ; 36 ; 73.25
0 ; 34 ; 37 ; 73.25
0 ; 34 ; 39 ; 73.25
0 ; 34 ; 41 ; 73.25
0 ; 34 ; 43 ; 73.19
0 ; 34 ; 45 ; 73.19
0 ; 34 ; 46 ; 73.19
0 ; 34 ; 48 ; 73.19
0 ; 34 ; 50 ; 73.19
0 ; 34 ; 52 ; 73.12
0 ; 34 ; 54 ; 73.12
0 ; 34 ; 55 ; 73.12
0 ; 34 ; 57 ; 73.12
0 ; 34 ; 59 ; 73.12
0 ; 35 ; 1 ; 73.06
0 ; 35 ; 2 ; 73.06
0 ; 35 ; 4 ; 73.06
0 ; 35 ; 6 ; 73.06
0 ; 35 ; 8 ; 73.00
0 ; 35 ; 10 ; 73.00
0 ; 35 ; 11 ; 73.00
0 ; 35 ; 13 ; 73.00
0 ; 35 ; 15 ; 73.00
0 ; 35 ; 17 ; 73.00
0 ; 35 ; 18 ; 72.94
0 ; 35 ; 20 ; 72.94
0 ; 35 ; 22 ; 72.94
0 ; 35 ; 24 ; 72.94
0 ; 35 ; 26 ; 72.87
0 ; 35 ; 27 ; 72.87
0 ; 35 ; 29 ; 72.87
0 ; 35 ; 31 ; 72.87
0 ; 35 ; 33 ; 72.87
0 ; 35 ; 34 ; 72.81
0 ; 35 ; 36 ; 72.81
0 ; 35 ; 38 ; 72.81
0 ; 35 ; 40 ; 72.81
0 ; 35 ; 42 ; 72.81
0 ; 35 ; 43 ; 72.81
0 ; 35 ; 45 ; 72.75
0 ; 35 ; 47 ; 72.75
0 ; 35 ; 49 ; 72.75
0 ; 35 ; 50 ; 72.75
0 ; 35 ; 52 ; 72.69
0 ; 35 ; 54 ; 72.69
0 ; 35 ; 56 ; 72.69
0 ; 35 ; 58 ; 72.69
0 ; 35 ; 59 ; 72.69
0 ; 36 ; 1 ; 72.62
0 ; 36 ; 3 ; 72.62
0 ; 36 ; 5 ; 72.62
0 ; 36 ; 6 ; 72.62
0 ; 36 ; 8 ; 72.62
0 ; 36 ; 10 ; 72.56
0 ; 36 ; 12 ; 72.56
0 ; 36 ; 14 ; 72.56
0 ; 36 ; 15 ; 72.56
0 ; 36 ; 17 ; 72.56
0 ; 36 ; 19 ; 72.50
0 ; 36 ; 21 ; 72.50
0 ; 36 ; 22 ; 72.50
0 ; 36 ; 24 ; 72.50
0 ; 36 ; 26 ; 72.44
0 ; 36 ; 28 ; 72.44
0 ; 36 ; 30 ; 72.44
0 ; 36 ; 31 ; 72.44
0 ; 36 ; 33 ; 72.44
0 ; 36 ; 35 ; 72.44
0 ; 36 ; 37 ; 72.37
0 ; 36 ; 39 ; 72.37
0 ; 36 ; 40 ; 72.37
0 ; 36 ; 42 ; 72.37
0 ; 36 ; 44 ; 72.37
0 ; 36 ; 46 ; 72.31
0 ; 36 ; 47 ; 72.31
0 ; 36 ; 49 ; 72.31
0 ; 36 ; 51 ; 72.31
0 ; 36 ; 53 ; 72.31
0 ; 36 ; 55 ; 72.31
0 ; 36 ; 56 ; 72.25
0 ; 36 ; 58 ; 72.25
0 ; 37 ; 0 ; 72.25
0 ; 37 ; 2 ; 72.19
0 ; 37 ; 3 ; 72.19
0 ; 37 ; 5 ; 72.19
0 ; 37 ; 7 ; 72.19
0 ; 37 ; 9 ; 72.19
0 ; 37 ; 11 ; 72.12
0 ; 37 ; 12 ; 72.12
0 ; 37 ; 14 ; 72.12
0 ; 37 ; 16 ; 72.12
0 ; 37 ; 18 ; 72.12
0 ; 37 ; 19 ; 72.12
0 ; 37 ; 21 ; 72.12
0 ; 37 ; 23 ; 72.06
0 ; 37 ; 25 ; 72.06
0 ; 37 ; 27 ; 72.06
0 ; 37 ; 28 ; 72.06
0 ; 37 ; 30 ; 72.00
0 ; 37 ; 32 ; 72.00
0 ; 37 ; 34 ; 72.00
0 ; 37 ; 35 ; 72.00
0 ; 37 ; 37 ; 72.00
0 ; 37 ; 39 ; 71.94
0 ; 37 ; 41 ; 71.94
0 ; 37 ; 43 ; 71.94
0 ; 37 ; 44 ; 71.94
0 ; 37 ; 46 ; 71.94
0 ; 37 ; 48 ; 71.87
0 ; 37 ; 50 ; 71.87
0 ; 37 ; 51 ; 71.87
0 ; 37 ; 53 ; 71.87
0 ; 37 ; 55 ; 71.87
0 ; 37 ; 57 ; 71.81
0 ; 37 ; 59 ; 71.81
0 ; 38 ; 0 ; 71.81
0 ; 38 ; 2 ; 71.81
0 ; 38 ; 4 ; 71.81
0 ; 38 ; 6 ; 71.75
0 ; 38 ; 8 ; 71.75
0 ; 38 ; 9 ; 71.75
0 ; 38 ; 11 ; 71.75
0 ; 38 ; 13 ; 71.75
0 ; 38 ; 15 ; 71.75
0 ; 38 ; 16 ; 71.75
0 ; 38 ; 18 ; 71.69
0 ; 38 ; 20 ; 71.69
0 ; 38 ; 22 ; 71.69
0 ; 38 ; 24 ; 71.69
0 ; 38 ; 25 ; 71.62
0 ; 38 ; 27 ; 71.62
0 ; 38 ; 29 ; 71.62
0 ; 38 ; 31 ; 71.62
0 ; 38 ; 32 ; 71.62
0 ; 38 ; 34 ; 71.56
0 ; 38 ; 36 ; 71.56
0 ; 38 ; 38 ; 71.56
0 ; 38 ; 40 ; 71.56
0 ; 38 ; 41 ; 71.56
0 ; 38 ; 43 ; 71.50
0 ; 38 ; 45 ; 71.50
0 ; 38 ; 47 ; 71.50
0 ; 38 ; 48 ; 71.50
0 ; 38 ; 50 ; 71.50
0 ; 38 ; 52 ; 71.44
0 ; 38 ; 54 ; 71.44
0 ; 38 ; 56 ; 71.44
0 ; 38 ; 57 ; 71.44
0 ; 38 ; 59 ; 71.44
0 ; 39 ; 1 ; 71.37
0 ; 39 ; 3 ; 71.37
0 ; 39 ; 4 ; 71.37
0 ; 39 ; 6 ; 71.37
0 ; 39 ; 8 ; 71.37
0 ; 39 ; 10 ; 71.31
0 ; 39 ; 12 ; 71.31
0 ; 39 ; 13 ; 71.31
0 ; 39 ; 15 ; 71.31
0 ; 39 ; 17 ; 71.31
0 ; 39 ; 19 ; 71.31
0 ; 39 ; 20 ; 71.25
0 ; 39 ; 22 ; 71.25
0 ; 39 ; 24 ; 71.25
0 ; 39 ; 26 ; 71.25
0 ; 39 ; 28 ; 71.25
0 ; 39 ; 29 ; 71.19
0 ; 39 ; 31 ; 71.19
0 ; 39 ; 33 ; 71.19
0 ; 39 ; 35 ; 71.19
0 ; 39 ; 37 ; 71.19
0 ; 39 ; 38 ; 71.19
0 ; 39 ; 40 ; 71.12
0 ; 39 ; 42 ; 71.12
0 ; 39 ; 44 ; 71.12
0 ; 39 ; 45 ; 71.06
0 ; 39 ; 47 ; 71.06
0 ; 39 ; 49 ; 71.06
0 ; 39 ; 51 ; 71.06
0 ; 39 ; 53 ; 71.06
0 ; 39 ; 54 ; 71.06
0 ; 39 ; 56 ; 71.06
0 ; 39 ; 58 ; 71.00
0 ; 40 ; 0 ; 71.00
0 ; 40 ; 1 ; 71.00
0 ; 40 ; 3 ; 71.00
0 ; 40 ; 5 ; 71.00
0 ; 40 ; 7 ; 70.94
0 ; 40 ; 9 ; 70.94
0 ; 40 ; 10 ; 70.94
0 ; 40 ; 12 ; 70.94
0 ; 40 ; 14 ; 70.94
0 ; 40 ; 16 ; 70.87
0 ; 40 ; 17 ; 70.87
0 ; 40 ; 19 ; 70.87
0 ; 40 ; 21 ; 70.87
0 ; 40 ; 23 ; 70.87
0 ; 40 ; 25 ; 70.87
0 ; 40 ; 26 ; 70.81
0 ; 40 ; 28 ; 70.81
0 ; 40 ; 30 ; 70.81
0 ; 40 ; 32 ; 70.81
0 ; 40 ; 33 ; 70.81
0 ; 40 ; 35 ; 70.75
0 ; 40 ; 37 ; 70.75
0 ; 40 ; 39 ; 70.75
0 ; 40 ; 41 ; 70.75
0 ; 40 ; 42 ; 70.75
0 ; 40 ; 44 ; 70.69
0 ; 40 ; 46 ; 70.69
0 ; 40 ; 48 ; 70.69
0 ; 40 ; 49 ; 70.69
0 ; 40 ; 51 ; 70.69
0 ; 40 ; 53 ; 70.62
0 ; 40 ; 55 ; 70.62
0 ; 40 ; 57 ; 70.62
0 ; 40 ; 58 ; 70.62
0 ; 41 ; 0 ; 70.62
0 ; 41 ; 2 ; 70.56
0 ; 41 ; 4 ; 70.56
0 ; 41 ; 6 ; 70.56
0 ; 41 ; 7 ; 70.56
0 ; 41 ; 9 ; 70.56
0 ; 41 ; 11 ; 70.56
0 ; 41 ; 13 ; 70.50
0 ; 41 ; 14 ; 70.50
0 ; 41 ; 16 ; 70.50
0 ; 41 ; 18 ; 70.50
0 ; 41 ; 20 ; 70.50
0 ; 41 ; 22 ; 70.50
0 ; 41 ; 23 ; 70.44
0 ; 41 ; 25 ; 70.44
0 ; 41 ; 27 ; 70.44
0 ; 41 ; 29 ; 70.44
0 ; 41 ; 30 ; 70.44
0 ; 41 ; 32 ; 70.37
0 ; 41 ; 34 ; 70.37
0 ; 41 ; 36 ; 70.37
0 ; 41 ; 38 ; 70.37
0 ; 41 ; 39 ; 70.37
0 ; 41 ; 41 ; 70.37
0 ; 41 ; 43 ; 70.31
0 ; 41 ; 45 ; 70.31
0 ; 41 ; 46 ; 70.31
0 ; 41 ; 48 ; 70.31
0 ; 41 ; 50 ; 70.25
0 ; 41 ; 52 ; 70.25
0 ; 41 ; 54 ; 70.25
0 ; 41 ; 55 ; 70.25
0 ; 41 ; 57 ; 70.25
0 ; 41 ; 59 ; 70.25
0 ; 42 ; 1 ; 70.19
0 ; 42 ; 2 ; 70.19
0 ; 42 ; 4 ; 70.19
0 ; 42 ; 6 ; 70.19
0 ; 42 ; 8 ; 70.19
0 ; 42 ; 10 ; 70.12
0 ; 42 ; 11 ; 70.12
0 ; 42 ; 13 ; 70.12
0 ; 42 ; 15 ; 70.12
0 ; 42 ; 17 ; 70.12
0 ; 42 ; 18 ; 70.06
0 ; 42 ; 20 ; 70.06
0 ; 42 ; 22 ; 70.06
0 ; 42 ; 24 ; 70.06
0 ; 42 ; 26 ; 70.06
0 ; 42 ; 27 ; 70.06
0 ; 42 ; 29 ; 70.00
0 ; 42 ; 31 ; 70.00
0 ; 42 ; 33 ; 70.00
0 ; 42 ; 34 ; 70.00
0 ; 42 ; 36 ; 70.00
0 ; 42 ; 38 ; 70.00
0 ; 42 ; 40 ; 69.94
0 ; 42 ; 42 ; 69.94
0 ; 42 ; 43 ; 69.94
0 ; 42 ; 45 ; 69.94
0 ; 42 ; 47 ; 69.87
0 ; 42 ; 49 ; 69.87
0 ; 42 ; 51 ; 69.87
0 ; 42 ; 52 ; 69.87
0 ; 42 ; 54 ; 69.87
0 ; 42 ; 56 ; 69.87
0 ; 42 ; 58 ; 69.81
0 ; 42 ; 59 ; 69.81
0 ; 43 ; 1 ; 69.81
0 ; 43 ; 3 ; 69.81
0 ; 43 ; 5 ; 69.81
0 ; 43 ; 7 ; 69.81
0 ; 43 ; 8 ; 69.75
0 ; 43 ; 10 ; 69.75
0 ; 43 ; 12 ; 69.75
0 ; 43 ; 14 ; 69.75
0 ; 43 ; 15 ; 69.75
0 ; 43 ; 17 ; 69.69
0 ; 43 ; 19 ; 69.69
0 ; 43 ; 21 ; 69.69
0 ; 43 ; 23 ; 69.69
0 ; 43 ; 24 ; 69.69
0 ; 43 ; 26 ; 69.69
0 ; 43 ; 28 ; 69.62
0 ; 43 ; 30 ; 69.62
0 ; 43 ; 31 ; 69.62
0 ; 43 ; 33 ; 69.62
0 ; 43 ; 35 ; 69.62
0 ; 43 ; 37 ; 69.56
0 ; 43 ; 39 ; 69.56
0 ; 43 ; 40 ; 69.56
0 ; 43 ; 42 ; 69.56
0 ; 43 ; 44 ; 69.56
0 ; 43 ; 46 ; 69.50
0 ; 43 ; 47 ; 69.50
0 ; 43 ; 49 ; 69.50
0 ; 43 ; 51 ; 69.50
0 ; 43 ; 53 ; 69.50
0 ; 43 ; 55 ; 69.50
0 ; 43 ; 56 ; 69.44
0 ; 43 ; 58 ; 69.44
0 ; 44 ; 0 ; 69.44
0 ; 44 ; 2 ; 69.44
0 ; 44 ; 3 ; 69.44
0 ; 44 ; 5 ; 69.37
0 ; 44 ; 7 ; 69.37
0 ; 44 ; 9 ; 69.37
0 ; 44 ; 11 ; 69.37
0 ; 44 ; 12 ; 69.37
0 ; 44 ; 14 ; 69.37
0 ; 44 ; 16 ; 69.31
0 ; 44 ; 18 ; 69.31
0 ; 44 ; 20 ; 69.31
0 ; 44 ; 21 ; 69.31
0 ; 44 ; 23 ; 69.31
0 ; 44 ; 25 ; 69.31
0 ; 44 ; 27 ; 69.25
0 ; 44 ; 28 ; 69.25
0 ; 44 ; 30 ; 69.25
0 ; 44 ; 32 ; 69.25
0 ; 44 ; 34 ; 69.25
0 ; 44 ; 36 ; 69.19
0 ; 44 ; 37 ; 69.19
0 ; 44 ; 39 ; 69.19
0 ; 44 ; 41 ; 69.19
0 ; 44 ; 43 ; 69.19
0 ; 44 ; 44 ; 69.19
0 ; 44 ; 46 ; 69.12
0 ; 44 ; 48 ; 69.12
0 ; 44 ; 50 ; 69.12
0 ; 44 ; 52 ; 69.12
0 ; 44 ; 53 ; 69.12
0 ; 44 ; 55 ; 69.12
0 ; 44 ; 57 ; 69.06
0 ; 44 ; 59 ; 69.06
0 ; 45 ; 0 ; 69.06
0 ; 45 ; 2 ; 69.06
0 ; 45 ; 4 ; 69.06
0 ; 45 ; 6 ; 69.00
0 ; 45 ; 8 ; 69.00
0 ; 45 ; 9 ; 69.00
0 ; 45 ; 11 ; 69.00
0 ; 45 ; 13 ; 69.00
0 ; 45 ; 15 ; 68.94
0 ; 45 ; 16 ; 68.94
0 ; 45 ; 18 ; 68.94
0 ; 45 ; 20 ; 68.94
0 ; 45 ; 22 ; 68.94
0 ; 45 ; 24 ; 68.94
0 ; 45 ; 25 ; 68.94
0 ; 45 ; 27 ; 68.87
0 ; 45 ; 29 ; 68.87
0 ; 45 ; 31 ; 68.87
0 ; 45 ; 32 ; 68.87
0 ; 45 ; 34 ; 68.81
0 ; 45 ; 36 ; 68.81
0 ; 45 ; 38 ; 68.81
0 ; 45 ; 40 ; 68.81
0 ; 45 ; 41 ; 68.81
0 ; 45 ; 43 ; 68.81
0 ; 45 ; 45 ; 68.75
0 ; 45 ; 47 ; 68.75
0 ; 45 ; 49 ; 68.75
0 ; 45 ; 50 ; 68.75
0 ; 45 ; 52 ; 68.75
0 ; 45 ; 54 ; 68.69
0 ; 45 ; 56 ; 68.69
0 ; 45 ; 57 ; 68.69
0 ; 45 ; 59 ; 68.69
0 ; 46 ; 1 ; 68.69
0 ; 46 ; 3 ; 68.69
0 ; 46 ; 5 ; 68.69
0 ; 46 ; 6 ; 68.62
0 ; 46 ; 8 ; 68.62
0 ; 46 ; 10 ; 68.62
0 ; 46 ; 12 ; 68.62
0 ; 46 ; 13 ; 68.62
0 ; 46 ; 15 ; 68.56
0 ; 46 ; 17 ; 68.56
0 ; 46 ; 19 ; 68.56
0 ; 46 ; 21 ; 68.56
0 ; 46 ; 22 ; 68.56
0 ; 46 ; 24 ; 68.56
0 ; 46 ; 26 ; 68.50
0 ; 46 ; 28 ; 68.50
0 ; 46 ; 29 ; 68.50
0 ; 46 ; 31 ; 68.50
0 ; 46 ; 33 ; 68.50
0 ; 46 ; 35 ; 68.44
0 ; 46 ; 37 ; 68.44
0 ; 46 ; 38 ; 68.44
0 ; 46 ; 40 ; 68.44
0 ; 46 ; 42 ; 68.44
0 ; 46 ; 44 ; 68.37
0 ; 46 ; 45 ; 68.37
0 ; 46 ; 47 ; 68.37
0 ; 46 ; 49 ; 68.37
0 ; 46 ; 51 ; 68.37
0 ; 46 ; 53 ; 68.37
0 ; 46 ; 54 ; 68.31
0 ; 46 ; 56 ; 68.31
0 ; 46 ; 58 ; 68.31
0 ; 47 ; 0 ; 68.31
0 ; 47 ; 1 ; 68.31
0 ; 47 ; 3 ; 68.31
0 ; 47 ; 5 ; 68.31
0 ; 47 ; 7 ; 68.25
0 ; 47 ; 9 ; 68.25
0 ; 47 ; 10 ; 68.25
0 ; 47 ; 12 ; 68.25
0 ; 47 ; 14 ; 68.25
0 ; 47 ; 16 ; 68.19
0 ; 47 ; 18 ; 68.19
0 ; 47 ; 19 ; 68.19
0 ; 47 ; 21 ; 68.19
0 ; 47 ; 23 ; 68.19
0 ; 47 ; 25 ; 68.19
0 ; 47 ; 26 ; 68.12
0 ; 47 ; 28 ; 68.12
0 ; 47 ; 30 ; 68.12
0 ; 47 ; 32 ; 68.12
0 ; 47 ; 34 ; 68.12
0 ; 47 ; 35 ; 68.12
0 ; 47 ; 37 ; 68.06
0 ; 47 ; 39 ; 68.06
0 ; 47 ; 41 ; 68.06
0 ; 47 ; 42 ; 68.06
0 ; 47 ; 44 ; 68.06
0 ; 47 ; 46 ; 68.00
0 ; 47 ; 48 ; 68.00
0 ; 47 ; 50 ; 68.00
0 ; 47 ; 51 ; 68.00
0 ; 47 ; 53 ; 68.00
0 ; 47 ; 55 ; 67.94
0 ; 47 ; 57 ; 67.94
0 ; 47 ; 58 ; 67.94
0 ; 48 ; 0 ; 67.94
0 ; 48 ; 2 ; 67.94
0 ; 48 ; 4 ; 67.94
0 ; 48 ; 6 ; 67.87
0 ; 48 ; 7 ; 67.87
0 ; 48 ; 9 ; 67.87
0 ; 48 ; 11 ; 67.87
0 ; 48 ; 13 ; 67.87
0 ; 48 ; 14 ; 67.87
0 ; 48 ; 16 ; 67.81
0 ; 48 ; 18 ; 67.81
0 ; 48 ; 20 ; 67.81
0 ; 48 ; 22 ; 67.81
0 ; 48 ; 23 ; 67.81
0 ; 48 ; 25 ; 67.81
0 ; 48 ; 27 ; 67.75
0 ; 48 ; 29 ; 67.75
0 ; 48 ; 30 ; 67.75
0 ; 48 ; 32 ; 67.75
0 ; 48 ; 34 ; 67.75
0 ; 48 ; 36 ; 67.75
0 ; 48 ; 38 ; 67.69
0 ; 48 ; 39 ; 67.69
0 ; 48 ; 41 ; 67.69
0 ; 48 ; 43 ; 67.69
0 ; 48 ; 45 ; 67.69
0 ; 48 ; 47 ; 67.69
0 ; 48 ; 48 ; 67.62
0 ; 48 ; 50 ; 67.62
0 ; 48 ; 52 ; 67.62
0 ; 48 ; 54 ; 67.62
0 ; 48 ; 55 ; 67.62
0 ; 48 ; 57 ; 67.56
0 ; 48 ; 59 ; 67.56
0 ; 49 ; 1 ; 67.56
0 ; 49 ; 3 ; 67.56
0 ; 49 ; 4 ; 67.56
0 ; 49 ; 6 ; 67.56
0 ; 49 ; 8 ; 67.50
0 ; 49 ; 10 ; 67.50
0 ; 49 ; 11 ; 67.50
0 ; 49 ; 13 ; 67.50
0 ; 49 ; 15 ; 67.50
0 ; 49 ; 17 ; 67.50
0 ; 49 ; 19 ; 67.44
0 ; 49 ; 20 ; 67.44
