"Tirada";"Interrupt";"t"
34;12;147532
35;1;0
35;2;23196
35;3;39672
35;4;55508
35;5;68856
35;6;81868
35;7;92576
35;8;103712
35;9;114220
35;10;124148
35;11;133292
35;12;142524
36;1;0
36;2;20564
36;3;35660
36;4;50648
36;5;63424
36;6;75996
36;7;86440
36;8;97392
36;9;107724
36;10;117236
37;1;0
37;2;21128
37;3;36240
37;4;51488
37;5;64032
37;6;76620
37;7;87232
37;8;98160
37;9;108600
37;10;118336
37;11;127424
37;12;136316
38;1;0
38;2;19516
38;3;33968
38;4;48516
38;5;60736
38;6;72912
38;7;83188
38;8;93872
38;9;104092
38;10;113680
38;11;122584
38;12;131336
38;13;133840
39;1;0
39;2;16844
39;3;29940
39;4;43212
39;5;54656
39;6;66084
39;7;75800
39;8;85912
39;9;95716
39;10;105024
39;11;113892
39;12;122456
40;1;0
40;2;21516
40;3;36996
40;4;52364
40;5;65052
40;6;77684
40;7;88372
40;8;99304
40;9;109780
40;10;119520
40;11;128612
40;12;137492
40;13;285284
40;14;287800
41;1;0
41;2;22692
41;3;39116
41;4;54748
41;5;68296
41;6;81224
41;7;91868
41;8;102992
41;9;113468
41;10;123192
42;1;0
42;2;20928
42;3;36248
42;4;51332
42;5;63948
42;6;76412
42;7;86964
42;8;97792
42;9;108188
42;10;117876
42;11;126912
42;12;135672
43;1;0
43;2;22136
43;3;37888
43;4;53416
43;5;66112
43;6;78776
43;7;89520
43;8;100528
43;9;111036
43;10;120884
43;11;130044
43;12;138932
44;1;0
44;2;22624
44;3;38412
44;4;54136
44;5;66872
44;6;79644
44;7;90560
44;8;101624
44;9;112280
44;10;122188
44;11;131376
44;12;140300
45;1;0
45;2;26044
45;3;43448
45;4;60268
45;5;74076
45;6;87656
45;7;99036
45;8;110780
45;9;121784
45;10;125232
46;1;0
46;2;23444
46;3;40076
46;4;55976
46;5;69336
46;6;82284
46;7;93124
46;8;104276
46;9;114904
46;10;124796
46;11;134040
46;12;143032
47;1;0
47;2;24656
47;3;41644
47;4;57948
47;5;71456
47;6;84544
47;7;95572
47;8;106824
47;9;117600
47;10;127564
47;11;136884
47;12;145884
48;1;0
48;2;22956
48;3;39424
48;4;55228
48;5;68396
48;6;81288
48;7;92108
48;8;103180
48;9;113812
48;10;123656
48;11;132828
48;12;141720
49;1;0
49;2;83076
50;1;0
50;2;25024
50;3;42476
50;4;58852
50;5;72712
50;6;86020
50;7;96968
50;8;108328
50;9;119076
50;10;129120
51;1;0
51;2;19884
51;3;34884
51;4;49528
51;5;62216
51;6;74536
51;7;84884
51;8;95608
51;9;105896
51;10;115492
51;11;124644
51;12;130264
52;1;0
52;2;26800
52;3;44796
52;4;61432
52;5;74904
52;6;87612
52;7;98276
52;8;108900
52;9;120196
52;10;132920
52;11;144732
52;12;148516
53;1;0
53;2;18620
53;3;32624
53;4;46776
53;5;58572
53;6;70412
53;7;80648
53;8;91072
53;9;101216
53;10;110620
53;11;119472
53;12;128068
54;1;0
54;2;22756
54;3;39008
54;4;54660
54;5;67756
54;6;80512
54;7;91404
54;8;102424
54;9;113036
54;10;122884
54;11;132120
54;12;141012
55;1;0
55;2;20580
55;3;36012
55;4;50932
55;5;63652
55;6;76036
55;7;86592
55;8;97296
55;9;107776
55;10;117356
55;11;126436
55;12;135184
56;1;0
56;2;28752
56;3;47332
56;4;64616
56;5;78708
56;6;92260
56;7;103700
56;8;115232
56;9;126288
56;10;136508
56;11;146096
56;12;155360
57;1;0
57;2;24184
57;3;41112
57;4;57268
57;5;70864
57;6;84060
57;7;95136
57;8;106460
57;9;117424
57;10;127476
57;11;136936
57;12;145908
58;1;0
58;2;23884
58;3;40528
58;4;56624
58;5;69944
58;6;82948
58;7;93972
58;8;105144
58;9;115884
58;10;125804
58;11;135072
58;12;143992
59;1;0
59;2;20048
59;3;34960
59;4;49696
59;5;62088
59;6;74292
59;7;84812
59;8;95472
59;9;105772
59;10;115368
59;11;124344
59;12;133004
60;1;0
60;2;26212
60;3;44032
60;4;60704
60;5;74520
60;6;87844
60;7;99060
60;8;110396
60;9;121308
60;10;131328
60;11;140804
60;12;149936
61;1;0
61;2;20512
61;3;36172
61;4;50992
61;5;64364
61;6;76604
61;7;86840
61;8;97548
61;9;107816
61;10;117344
61;11;126384
61;12;135128
62;1;0
62;2;20820
62;3;35948
62;4;50968
62;5;63312
62;6;75688
62;7;86328
62;8;97140
62;9;107592
62;10;117184
62;11;126264
62;12;135000
63;1;0
63;2;26076
63;3;43812
63;4;60512
63;5;74148
63;6;87368
63;7;98640
63;8;109976
63;9;120876
63;10;130892
63;11;140272
63;12;149252
64;1;0
64;2;22184
64;3;38400
64;4;53916
64;5;67116
64;6;79884
64;7;90688
64;8;101672
64;9;112252
64;10;122028
64;11;131256
64;12;140172
65;1;0
65;2;24284
65;3;41528
65;4;57628
65;5;71420
65;6;84552
65;7;95524
65;8;106724
65;9;117604
65;10;127692
66;1;0
66;2;22528
66;3;39120
66;4;54756
66;5;68204
66;6;80936
66;7;91632
66;8;102600
66;9;113200
66;10;122976
66;11;132180
66;12;141016
67;1;0
67;2;22480
67;3;39088
67;4;54640
67;5;68040
67;6;80656
67;7;91320
67;8;102308
67;9;112848
67;10;122576
67;11;131792
67;12;140588
68;1;0
68;2;25716
68;3;43620
68;4;60036
68;5;74100
68;6;86936
68;7;97628
68;8;110868
69;1;0
69;2;23808
69;3;40272
69;4;55808
69;5;68548
69;6;80480
69;7;90496
69;8;101432
69;9;113892
69;10;126156
69;11;136864
69;12;148196
70;1;0
70;2;17768
70;3;31712
70;4;45424
70;5;57336
70;6;68964
70;7;79024
70;8;89252
70;9;99232
70;10;108496
70;11;117248
70;12;125676
71;1;0
71;2;18164
71;3;32344
71;4;46224
71;5;58292
71;6;70124
71;7;80292
71;8;90636
71;9;100772
71;10;110104
71;11;118996
71;12;127544
72;1;0
72;2;18068
72;3;32296
72;4;46004
72;5;58716
72;6;70244
72;7;80112
72;8;90316
72;9;100300
72;10;109528
72;11;118344
72;12;126812
73;1;0
73;2;37676
73;3;58832
73;4;77440
73;5;92504
73;6;106644
73;7;118568
73;8;130412
73;9;141776
73;10;152168
73;11;161916
73;12;171192
74;1;0
74;2;24520
74;3;41844
74;4;57932
74;5;71512
74;6;84184
74;7;94948
74;8;105856
74;9;116264
74;10;125848
74;11;135008
74;12;145192
75;1;0
75;2;15676
75;3;28480
75;4;41128
75;5;52520
75;6;63588
75;7;73144
75;8;82984
75;9;92600
75;10;101560
75;11;110072
75;12;118452
76;1;0
76;2;17372
76;3;31288
76;4;44780
76;5;56804
76;6;68308
76;7;78248
76;8;88424
76;9;98380
76;10;107532
76;11;116380
76;12;124832
77;1;0
77;2;18948
77;3;33608
77;4;47840
77;5;60180
77;6;72136
77;7;82456
77;8;92896
77;9;103148
77;10;112516
77;11;121456
77;12;130096
78;1;0
78;2;25952
78;3;43620
78;4;60056
78;5;73596
78;6;86464
78;7;97364
78;8;108376
78;9;118952
78;10;129460
78;11;141892
78;12;144956
79;1;0
79;2;15524
79;3;28256
79;4;40808
79;5;52200
79;6;63184
79;7;72600
79;8;82388
79;9;91936
79;10;100824
79;11;109336
79;12;117560
80;1;0
80;2;19840
80;3;34812
80;4;49444
80;5;61996
80;6;74284
80;7;84772
80;8;95412
80;9;105756
80;10;115300
80;11;124368
80;12;133112
80;13;135484
80;14;2683292
80;15;2817260
81;1;0
81;2;18608
81;3;32980
81;4;47100
81;5;59280
81;6;71216
81;7;81468
81;8;91876
81;9;102068
81;10;111432
81;11;120360
81;12;128928
82;1;0
82;2;18396
82;3;32584
82;4;46660
82;5;58684
82;6;70584
82;7;80884
82;8;91288
82;9;101504
82;10;110844
82;11;119772
82;12;128336
83;1;0
83;2;26896
83;3;44964
83;4;61724
83;5;75564
83;6;88792
83;7;100368
83;8;112300
83;9;123876
83;10;134320
83;11;144164
83;12;153476
84;1;0
84;2;17968
84;3;31928
84;4;45720
84;5;57656
84;6;69288
84;7;79428
84;8;89680
84;9;99736
84;10;109024
84;11;117832
84;12;126272
85;1;0
85;2;23216
85;3;39668
85;4;55412
85;5;68476
85;6;81220
85;7;92160
85;8;103184
85;9;113848
85;10;123648
85;11;132884
85;12;141724
86;1;0
86;2;36792
86;3;57432
86;4;75888
86;5;90536
86;6;104632
86;7;116508
86;8;128380
86;9;139768
86;10;150160
86;11;159968
86;12;169260
87;1;0
87;2;27572
87;3;45948
87;4;62932
87;5;76940
87;6;90356
87;7;101780
87;8;113176
87;9;124232
87;10;134296
87;11;143820
87;12;152920
88;1;0
88;2;35548
88;3;56184
88;4;74552
88;5;89528
88;6;103684
88;7;115496
88;8;127284
88;9;138588
88;10;148932
88;11;158648
88;12;167940
89;1;0
89;2;20168
89;3;35460
89;4;50224
89;5;62964
89;6;75296
89;7;85796
89;8;96564
89;9;106988
89;10;116600
89;11;125716
89;12;135008
90;1;0
90;2;22176
90;3;38120
90;4;53628
90;5;66436
90;6;79108
90;7;89960
90;8;100880
90;9;111500
90;10;121200
90;11;130432
90;12;139244
91;1;0
91;2;24096
91;3;41024
91;4;57084
91;5;70364
91;6;83240
91;7;94276
91;8;105360
91;9;116136
91;10;126068
91;11;135632
91;12;144840
92;1;0
92;2;23484
92;3;40188
92;4;56112
92;5;69484
92;6;82452
92;7;93452
92;8;104604
92;9;115364
92;10;125296
92;11;134684
92;12;144168
93;1;0
93;2;19932
93;3;34868
93;4;49516
93;5;62032
93;6;74284
93;7;84796
93;8;95440
93;9;105868
93;10;115400
93;11;124488
93;12;133216
94;1;0
94;2;23984
94;3;41204
94;4;57164
94;5;71056
94;6;84116
94;7;95068
94;8;106228
94;9;117044
94;10;126960
95;1;0
95;2;23872
95;3;40600
95;4;56668
95;5;69976
95;6;82956
95;7;94040
95;8;105176
95;9;115972
95;10;125836
95;11;135176
95;12;144148
96;1;0
96;2;29096
96;3;47984
96;4;65228
96;5;79448
96;6;92968
96;7;104404
96;8;115892
96;9;127000
96;10;137092
96;11;146644
96;12;155776
97;1;0
97;2;19952
97;3;34720
97;4;49400
97;5;61656
97;6;73832
97;7;84364
97;8;94968
97;9;105744
97;10;115780
97;11;125216
97;12;134284
98;1;0
98;2;29424
98;3;48852
98;4;66220
98;5;80948
98;6;94576
98;7;105924
98;8;117428
98;9;128512
98;10;138640
98;11;148208
98;12;157368
99;1;0
99;2;26852
99;3;45252
99;4;62024
99;5;76312
99;6;89744
99;7;101036
99;8;112412
99;9;123360
99;10;133444
99;11;142948
99;12;152136
100;1;0
100;2;32508
100;3;52628
100;4;70520
100;5;85576
100;6;99516
100;7;111000
100;8;122720
100;9;133840
100;10;143996
101;1;0
101;2;29484
101;3;48256
101;4;65680
101;5;79704
101;6;93300
101;7;104904
101;8;116496
101;9;127664
101;10;137792
101;11;147388
101;12;156476
102;1;0
102;2;27936
102;3;46288
102;4;63348
102;5;77412
102;6;90876
102;7;102292
102;8;113744
102;9;124824
102;10;134884
102;11;144468
102;12;153692
103;1;0
103;2;27580
103;3;45784
103;4;62828
103;5;76788
103;6;90252
103;7;101700
103;8;113164
103;9;124252
103;10;134348
103;11;143864
103;12;153040
104;1;0
104;2;23224
104;3;40128
104;4;55928
104;5;69620
104;6;82500
104;7;93236
104;8;104352
104;9;114980
104;10;124768
105;1;0
105;2;26556
105;3;44188
105;4;60964
105;5;74424
105;6;87736
105;7;99136
105;8;110536
105;9;121520
105;10;131572
105;11;141048
105;12;150088
106;1;0
106;2;30132
106;3;49440
106;4;66936
106;5;81524
106;6;95612
106;7;107420
106;8;119284
106;9;130656
106;10;141056
106;11;150888
106;12;160412
106;13;162340
107;1;0
107;2;25288
107;3;42768
107;4;59208
107;5;72956
107;6;86136
107;7;97260
107;8;108532
107;9;119428
107;10;129348
107;11;138768
107;12;147816
108;1;0
108;2;34172
108;3;54272
108;4;72440
108;5;87092
108;6;101092
108;7;112888
108;8;124656
108;9;135980
108;10;146300
108;11;156016
108;12;165312
109;1;0
109;2;34396
109;3;54712
109;4;72896
109;5;87740
109;6;101752
109;7;113504
109;8;125272
109;9;136628
109;10;146888
109;11;156636
109;12;165932
110;1;0
110;2;35220
110;3;55632
110;4;73992
110;5;88812
110;6;102860
110;7;114704
110;8;126488
110;9;137864
110;10;148188
110;11;157884
110;12;167160
111;1;0
111;2;29200
111;3;47900
111;4;65264
111;5;79224
111;6;92808
111;7;104356
111;8;115884
111;9;127000
111;10;137132
111;11;146692
111;12;155804
112;1;0
112;2;28500
112;3;47488
112;4;64536
112;5;79116
112;6;92612
112;7;103940
112;8;115400
112;9;126392
112;10;136484
112;11;146064
112;12;155120
113;1;0
113;2;28244
113;3;46916
113;4;64016
113;5;78296
113;6;91892
113;7;103252
113;8;114732
113;9;125788
113;10;135908
113;11;145432
113;12;154568
114;1;0
114;2;37328
114;3;58096
114;4;76636
114;5;91480
114;6;105688
114;7;117632
114;8;129488
114;9;140916
114;10;151288
114;11;161060
114;12;170432
115;1;0
115;2;41996
115;3;63732
115;4;82716
115;5;97980
115;6;112328
115;7;124332
115;8;136288
115;9;147764
115;10;158220
115;11;167992
115;12;177336
116;1;0
116;2;24788
116;3;42168
116;4;58424
116;5;72172
116;6;85320
116;7;96420
116;8;107572
116;9;118468
116;10;128368
116;11;137760
116;12;146744
117;1;0
117;2;24764
117;3;41772
117;4;58096
117;5;71384
117;6;84448
117;7;95688
117;8;106940
117;9;117812
117;10;127768
117;11;137172
117;12;146180
118;1;0
118;2;32648
118;3;52572
118;4;70556
118;5;85280
118;6;99276
118;7;110960
118;8;122712
118;9;134000
118;10;144304
118;11;154024
118;12;163420
119;1;0
119;2;27488
119;3;45788
119;4;62792
119;5;76864
119;6;90332
119;7;101696
119;8;113112
119;9;124132
119;10;134224
119;11;143672
119;12;152764
120;1;0
120;2;27204
120;3;45588
120;4;62440
120;5;76656
120;6;90024
120;7;101284
120;8;112696
120;9;123676
120;10;133716
120;11;143200
120;12;152328
120;13;155132
121;1;0
121;2;24436
121;3;41408
121;4;57624
121;5;71004
121;6;84096
121;7;95228
121;8;106412
121;9;117240
121;10;127212
121;11;136552
121;12;145560
122;1;0
122;2;31280
122;3;51096
122;4;68796
122;5;83804
122;6;97680
122;7;109076
122;8;120720
122;9;131848
122;10;142028
122;11;151772
122;12;160936
123;1;0
123;2;36656
123;3;57600
123;4;76060
123;5;91256
123;6;105436
123;7;117280
123;8;129184
123;9;140532
123;10;150964
123;11;160752
123;12;170168
124;1;0
124;2;28024
124;3;46636
124;4;63712
124;5;77996
124;6;91536
124;7;102956
124;8;114400
124;9;125432
124;10;135528
124;11;145104
124;12;154292
124;13;156948
125;1;0
125;2;29808
125;3;48976
125;4;66468
125;5;80824
125;6;94516
125;7;106004
125;8;117588
125;9;128728
125;10;138888
125;11;148452
125;12;157632
126;1;0
126;2;27164
126;3;45076
126;4;62032
126;5;75684
126;6;89104
126;7;100496
126;8;111964
126;9;122972
126;10;133080
126;11;142564
126;12;151688
126;13;361584
126;14;366136
127;1;0
127;2;26828
127;3;44556
127;4;61468
127;5;75004
127;6;88448
127;7;99852
127;8;111308
127;9;122300
127;10;132380
127;11;141872
127;12;150956
128;1;0
128;2;25004
128;3;42116
128;4;58540
128;5;71984
128;6;85164
128;7;96352
128;8;107608
128;9;118444
128;10;128448
128;11;137792
128;12;146784
129;1;0
129;2;18924
129;3;33496
129;4;47768
129;5;60040
129;6;71956
129;7;82284
129;8;92716
129;9;102908
129;10;112268
129;11;121176
129;12;129644
130;1;0
130;2;17508
130;3;31492
130;4;45048
130;5;57120
130;6;68608
130;7;78512
130;8;88660
130;9;98628
130;10;107828
130;11;116536
130;12;124936
131;1;0
131;2;26320
131;3;44044
131;4;60980
131;5;74504
131;6;87936
131;7;99324
131;8;110852
131;9;121856
131;10;132144
131;11;141600
131;12;150796
132;1;0
132;2;18120
132;3;32372
132;4;46212
132;5;58480
132;6;70300
132;7;80380
132;8;90720
132;9;100780
132;10;110112
132;11;118960
132;12;127548
132;13;130368
133;1;0
133;2;20480
133;3;35684
133;4;50604
133;5;63268
133;6;75660
133;7;86280
133;8;97056
133;9;107536
133;10;117196
133;11;126324
133;12;135188
133;13;137732
134;1;0
134;2;27084
134;3;44884
134;4;61832
134;5;75512
134;6;88936
134;7;100328
134;8;111780
134;9;122776
134;10;132860
134;11;142344
134;12;151428
135;1;0
135;2;15596
135;3;28184
135;4;40820
135;5;51848
135;6;62820
135;7;72372
135;8;82156
135;9;91740
135;10;100688
135;11;109152
135;12;117380
136;1;0
136;2;22080
136;3;38100
136;4;53568
136;5;66656
136;6;79428
136;7;90240
136;8;101232
136;9;111828
136;10;121628
136;11;130892
136;12;139924
137;1;0
137;2;27116
137;3;45684
137;4;63476
138;1;0
138;2;15644
138;3;28516
138;4;41136
138;5;52472
138;6;63432
138;7;73000
138;8;82796
138;9;92404
138;10;101324
138;11;109824
138;12;117980
139;1;0
139;2;19180
139;3;34052
139;4;48408
139;5;61056
139;6;73056
139;7;83276
139;8;93756
139;9;103940
139;10;113360
139;11;122296
139;12;130908
140;1;0
140;2;21408
140;3;37044
140;4;52292
140;5;64992
140;6;77512
140;7;88216
140;8;99076
140;9;109592
140;10;119280
140;11;128404
140;12;137212
141;1;0
141;2;24360
141;3;41268
141;4;57484
141;5;70768
141;6;83800
141;7;94940
141;8;106172
141;9;117012
141;10;126980
141;11;136332
141;12;145400
142;1;0
142;2;22432
142;3;38748
142;4;54340
142;5;67716
142;6;80556
142;7;91416
142;8;102544
142;9;113204
142;10;122936
143;1;0
143;2;36636
143;3;57292
143;4;75856
143;5;90772
143;6;104996
143;7;116880
143;8;128792
143;9;140208
143;10;150640
143;11;160452
143;12;169872
143;13;172416
144;1;0
144;2;28192
144;3;47128
144;4;64200
144;5;79004
144;6;92584
144;7;103776
144;8;115280
144;9;126232
144;10;132560
145;1;0
145;2;34932
145;3;55560
145;4;73804
145;5;88872
145;6;102924
145;7;114664
145;8;126528
145;9;137808
145;10;148200
145;11;157928
145;12;167924
146;1;0
146;2;34764
146;3;54912
146;4;73232
146;5;87832
146;6;101944
146;7;113772
146;8;125616
146;9;136916
146;10;147304
146;11;157028
146;12;166356
147;1;0
147;2;28900
147;3;47364
147;4;64692
147;5;78676
147;6;92316
147;7;103828
147;8;115436
147;9;126540
147;10;136760
147;11;146308
147;12;155488
148;1;0
148;2;30084
148;3;49320
148;4;66828
148;5;81324
148;6;95060
148;7;106588
148;8;118172
148;9;129292
148;10;139504
148;11;149068
148;12;158320
149;1;0
149;2;40116
149;3;61600
149;4;80440
149;5;95616
149;6;110004
149;7;121904
149;8;133840
149;9;145236
149;10;155672
149;11;165464
149;12;174904
150;1;0
150;2;33848
150;3;53940
150;4;72132
150;5;86868
150;6;100888
150;7;112604
150;8;124372
150;9;135680
150;10;145972
150;11;155640
150;12;164896

