"Tirada";"Interrupt";"t"
39;12;156896
39;13;159120
39;14;159816
40;1;0
40;2;45252
40;3;65364
40;4;85608
40;5;99444
40;6;114524
40;7;125732
40;8;138496
40;9;149208
40;10;160288
40;11;169404
40;12;179324
40;13;180604
40;14;181480
41;1;0
41;2;26220
41;3;42184
41;4;59512
41;5;72112
41;6;85944
41;7;96380
41;8;108332
41;9;118544
41;10;129144
41;11;137916
41;12;147456
42;1;0
42;2;31092
42;3;48500
42;4;66940
42;5;79996
42;6;94384
42;7;105156
42;8;117420
42;9;127948
42;10;138640
42;11;147668
42;12;157248
43;1;0
43;2;40404
43;3;60652
43;4;81696
44;1;0
44;2;26948
44;3;43380
44;4;60796
44;5;73592
44;6;87352
44;7;97912
44;8;109884
44;9;120248
44;10;130772
44;11;139632
44;12;149024
45;1;0
45;2;27696
45;3;44804
45;4;62288
45;5;75656
45;6;89592
45;7;100368
45;8;112172
45;9;122768
45;10;133168
45;11;142264
45;12;151880
46;1;0
46;2;27288
46;3;43992
46;4;61588
46;5;74708
46;6;88676
46;7;99524
46;8;111452
46;9;121996
46;10;132556
46;11;141580
46;12;151188
46;13;153412
47;1;0
47;2;25208
47;3;41296
47;4;58112
47;5;70876
47;6;84356
47;7;94956
47;8;106576
47;9;116924
47;10;127268
47;11;136240
47;12;145552
48;1;0
48;2;26124
48;3;42916
48;4;59936
48;5;73020
48;6;86732
48;7;97312
48;8;108984
48;9;119404
48;10;129740
48;11;138708
48;12;148028
49;1;0
49;2;26892
49;3;43976
49;4;61200
49;5;74532
49;6;88368
49;7;99124
49;8;110840
49;9;121392
49;10;131752
49;11;140844
49;12;150396
49;13;152976
49;14;153752
50;1;0
50;2;23892
50;3;39548
50;4;55984
50;5;68520
50;6;81780
50;7;92352
50;8;103804
50;9;114120
50;10;124236
50;11;133180
50;12;142284
51;1;0
51;2;20696
51;3;35228
51;4;50504
51;5;62824
51;6;75616
51;7;85744
51;8;96856
51;9;106908
51;10;116852
51;11;121092
51;12;122464
52;1;0
52;2;23424
52;3;39368
52;4;55480
52;5;68272
52;6;81500
52;7;91932
52;8;103240
52;9;113552
52;10;123612
52;11;132512
52;12;141688
53;1;0
53;2;21664
53;3;36924
53;4;52444
53;5;65308
53;6;78252
53;7;88408
53;8;99552
53;9;109632
53;10;116252
54;1;0
54;2;25540
54;3;42376
54;4;59196
54;5;72604
54;6;86208
54;7;97000
54;8;108640
54;9;119188
54;10;129496
55;1;0
55;2;33140
55;3;52528
55;4;71112
55;5;85516
55;6;100432
55;7;112228
55;8;124652
55;9;135960
55;10;146928
55;11;156812
55;12;161680
56;1;0
56;2;27880
56;3;45540
56;4;62920
56;5;76604
56;6;90368
56;7;101468
56;8;113136
56;9;123964
56;10;134276
56;11;143580
56;12;152912
57;1;0
57;2;37268
57;3;57336
57;4;76236
57;5;90540
57;6;104892
57;7;116540
