1	1632384921403	0.096	6.217	6.891	prueba
2	1632384921406	0.096	6.217	6.891	prueba
3	1632384921412	0.077	6.226	6.91	prueba
4	1632384921415	0.077	6.226	6.91	prueba
5	1632384921420	0.077	6.226	6.91	prueba
6	1632384921425	0.077	6.226	6.91	prueba
7	1632384921430	0.086	6.217	6.93	prueba
8	1632384921453	0.086	6.217	6.93	prueba
9	1632384921454	0.086	6.217	6.93	prueba
10	1632384921455	0.096	6.226	6.901	prueba
11	1632384921456	0.096	6.226	6.901	prueba
12	1632384921457	0.096	6.226	6.901	prueba
13	1632384921461	0.096	6.226	6.901	prueba
14	1632384921465	0.115	6.207	6.91	prueba
15	1632384921471	0.115	6.207	6.91	prueba
16	1632384921475	0.115	6.207	6.91	prueba
17	1632384921480	0.115	6.207	6.91	prueba
18	1632384921485	0.077	6.217	6.891	prueba
19	1632384921491	0.077	6.217	6.891	prueba
20	1632384921496	0.077	6.217	6.891	prueba
21	1632384921500	0.077	6.217	6.891	prueba
22	1632384921505	0.086	6.226	6.92	prueba
23	1632384921511	0.086	6.226	6.92	prueba
24	1632384921515	0.086	6.226	6.92	prueba
25	1632384921520	0.086	6.226	6.92	prueba
26	1632384921525	0.096	6.217	6.91	prueba
27	1632384921531	0.096	6.217	6.91	prueba
28	1632384921535	0.096	6.217	6.91	prueba
29	1632384921541	0.096	6.217	6.91	prueba
30	1632384921545	0.106	6.217	6.91	prueba
31	1632384921550	0.106	6.217	6.91	prueba
32	1632384921555	0.106	6.217	6.91	prueba
33	1632384921561	0.106	6.217	6.91	prueba
34	1632384921565	0.096	6.217	6.882	prueba
35	1632384921570	0.096	6.217	6.882	prueba
36	1632384921575	0.096	6.217	6.882	prueba
37	1632384921581	0.096	6.217	6.882	prueba
38	1632384921585	0.086	6.217	6.882	prueba
39	1632384921590	0.086	6.217	6.882	prueba
40	1632384921595	0.086	6.217	6.882	prueba
41	1632384921601	0.086	6.217	6.882	prueba
42	1632384921605	0.086	6.226	6.91	prueba
43	1632384921611	0.086	6.226	6.91	prueba
44	1632384921615	0.086	6.226	6.91	prueba
45	1632384921621	0.086	6.226	6.91	prueba
46	1632384921626	0.086	6.188	6.92	prueba
47	1632384921631	0.086	6.188	6.92	prueba
48	1632384921635	0.086	6.188	6.92	prueba
49	1632384921640	0.086	6.188	6.92	prueba
50	1632384921645	0.096	6.217	6.882	prueba
51	1632384921650	0.096	6.217	6.882	prueba
52	1632384921655	0.096	6.217	6.882	prueba
53	1632384921661	0.096	6.217	6.882	prueba
54	1632384921665	0.086	6.207	6.93	prueba
55	1632384921670	0.086	6.207	6.93	prueba
56	1632384921675	0.086	6.207	6.93	prueba
57	1632384921680	0.086	6.207	6.93	prueba
58	1632384921685	0.086	6.217	6.91	prueba
59	1632384921690	0.086	6.217	6.91	prueba
60	1632384921695	0.086	6.217	6.91	prueba
61	1632384921700	0.086	6.217	6.91	prueba
62	1632384921705	0.106	6.226	6.93	prueba
63	1632384921711	0.106	6.226	6.93	prueba
64	1632384921716	0.106	6.226	6.93	prueba
65	1632384921721	0.106	6.226	6.93	prueba
66	1632384921726	0.106	6.217	6.901	prueba
67	1632384921732	0.106	6.217	6.901	prueba
68	1632384921736	0.106	6.217	6.901	prueba
69	1632384921741	0.086	6.217	6.93	prueba
70	1632384921745	0.086	6.217	6.93	prueba
71	1632384921750	0.086	6.217	6.93	prueba
72	1632384921756	0.086	6.217	6.93	prueba
73	1632384921761	0.086	6.217	6.92	prueba
74	1632384921766	0.086	6.217	6.92	prueba
75	1632384921771	0.086	6.217	6.92	prueba
76	1632384921775	0.086	6.217	6.92	prueba
77	1632384921780	0.106	6.198	6.891	prueba
78	1632384921785	0.106	6.198	6.891	prueba
79	1632384921790	0.106	6.198	6.891	prueba
80	1632384921795	0.106	6.198	6.891	prueba
81	1632384921800	0.106	6.207	6.891	prueba
82	1632384921806	0.106	6.207	6.891	prueba
83	1632384921810	0.106	6.207	6.891	prueba
84	1632384921815	0.106	6.207	6.891	prueba
85	1632384921820	0.096	6.217	6.91	prueba
86	1632384921826	0.096	6.217	6.91	prueba
87	1632384921830	0.096	6.217	6.91	prueba
88	1632384921835	0.096	6.217	6.91	prueba
89	1632384921840	0.096	6.226	6.939	prueba
90	1632384921845	0.096	6.226	6.939	prueba
91	1632384921850	0.096	6.226	6.939	prueba
92	1632384921855	0.096	6.226	6.939	prueba
93	1632384921860	0.106	6.217	6.939	prueba
94	1632384921865	0.106	6.217	6.939	prueba
95	1632384921870	0.106	6.217	6.939	prueba
96	1632384921876	0.106	6.217	6.939	prueba
97	1632384921880	0.106	6.207	6.92	prueba
98	1632384921885	0.106	6.207	6.92	prueba
99	1632384921891	0.106	6.207	6.92	prueba
100	1632384921896	0.106	6.207	6.92	prueba
101	1632384921901	0.096	6.217	6.939	prueba
102	1632384921905	0.096	6.217	6.939	prueba
103	1632384921911	0.096	6.217	6.939	prueba
104	1632384921915	0.096	6.217	6.939	prueba
105	1632384921920	0.106	6.226	6.92	prueba
106	1632384921925	0.106	6.226	6.92	prueba
107	1632384921930	0.106	6.226	6.92	prueba
108	1632384921935	0.106	6.226	6.92	prueba
109	1632384921941	0.115	6.226	6.891	prueba
110	1632384921946	0.115	6.226	6.891	prueba
111	1632384921951	0.115	6.226	6.891	prueba
112	1632384921956	0.115	6.226	6.891	prueba
113	1632384921961	0.115	6.217	6.91	prueba
114	1632384921966	0.115	6.217	6.91	prueba
115	1632384921971	0.115	6.217	6.91	prueba
116	1632384921976	0.115	6.217	6.91	prueba
117	1632384921981	0.058	6.226	6.91	prueba
118	1632384921985	0.058	6.226	6.91	prueba
119	1632384921991	0.058	6.226	6.91	prueba
120	1632384921995	0.058	6.226	6.91	prueba
121	1632384922000	0.115	6.207	6.91	prueba
